"maille";"LAT";"LON";"ALT"
957;49.214;-0.79043;83
958;49.2168;-0.6808;69
959;49.2196;-0.57116;69
960;49.2222;-0.4615;57
961;49.2247;-0.35183;43
962;49.2271;-0.24216;30
963;49.2294;-0.13247;8
964;49.2316;-0.02278;76
965;49.2337;0.08693;128
966;49.2357;0.19664;91
967;49.2376;0.30636;124
968;49.2394;0.41609;140
969;49.2411;0.52583;160
970;49.2427;0.63558;125
971;49.2442;0.74533;123
972;49.2456;0.85508;146
973;49.247;0.96485;139
974;49.2481;1.07462;108
975;49.2493;1.18439;63
976;49.2503;1.29417;53
977;49.2512;1.40395;95
978;49.252;1.51373;116
979;49.2527;1.62352;104
980;49.2533;1.73332;83
981;49.2538;1.84311;104
982;49.2542;1.95291;97
983;49.2545;2.0627;122
984;49.2547;2.1725;142
985;49.2548;2.2823;127
986;49.2548;2.3921;81
987;49.2547;2.5019;72
988;49.2545;2.6117;114
989;49.2542;2.72149;102
990;49.2538;2.83129;99
991;49.2533;2.94108;111
992;49.2527;3.05088;135
993;49.252;3.16067;148
994;49.2512;3.27045;146
995;49.2503;3.38023;152
